Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CDKAL1","CDK5 Regulatory Subunit Associated Protein 1 Like 1","Protein Coding","Q5VV42","52","GC06P020534","33.1729888916016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1"
"PPP1R3A","Protein Phosphatase 1 Regulatory Subunit 3A","Protein Coding","Q16821","55","GC07M113876","31.5954113006592","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3A"
"RBPJL","Recombination Signal Binding Protein For Immunoglobulin Kappa J Region Like","Protein Coding","Q9UBG7","47","GC20P045306","31.462459564209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBPJL"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","31.1927070617676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"IGF2BP2","Insulin Like Growth Factor 2 MRNA Binding Protein 2","Protein Coding","Q9Y6M1","56","GC03M185643","31.1471385955811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP2"
"MTNR1B","Melatonin Receptor 1B","Protein Coding","P49286","56","GC11P092969","30.4140491485596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTNR1B"
"IRS2","Insulin Receptor Substrate 2","Protein Coding","Q9Y4H2","58","GC13M109752","28.9086894989014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2"
"TBC1D4","TBC1 Domain Family Member 4","Protein Coding","O60343","55","GC13M075284","27.1634407043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D4"
"LOC126862549","BRD4-Independent Group 4 Enhancer GRCh37_chr17:36093401-36094600","Functional Element","","9","GC17P136022","27.0785045623779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862549"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","26.7810020446777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"PTPN1","Protein Tyrosine Phosphatase Non-Receptor Type 1","Protein Coding","P18031","62","GC20P050510","26.5834579467773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1"
"HMGA1","High Mobility Group AT-Hook 1","Protein Coding","P17096","59","GC06P156409","26.5834579467773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA1"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","P14672","59","GC17P132635","26.3631038665771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"LOC110121471","VISTA Enhancer Hs1977","Functional Element","","11","GC11P017412","25.9071273803711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110121471"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","25.0744953155518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"MAPK8IP1","Mitogen-Activated Protein Kinase 8 Interacting Protein 1","Protein Coding","Q9UQF2","56","GC11P048339","24.6119899749756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP1"
"INS-IGF2","INS-IGF2 Readthrough","Protein Coding","F8WCM5","37","GC11M013303","24.4301624298096","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS-IGF2"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","58","GC11M073974","24.1642932891846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"GPD2","Glycerol-3-Phosphate Dehydrogenase 2","Protein Coding","P43304","58","GC02P156408","24.1451530456543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD2"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","23.225305557251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"CRP","C-Reactive Protein","Protein Coding","P02741","58","GC01M165279","23.1934852600098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"KLF11","KLF Transcription Factor 11","Protein Coding","O14901","48","GC02P010377","22.6677379608154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF11"
"LOC110121472","VISTA Enhancer Hs1980","Functional Element","","9","GC10P112997","22.4805183410645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110121472"
"GCGR","Glucagon Receptor","Protein Coding","P47871","59","GC17P081804","22.340763092041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCGR"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","21.9555568695068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"GCG","Glucagon","Protein Coding","P01275","54","GC02M162142","21.5062503814697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","Q9NVM4","55","GC16P105938","20.3517951965332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"MIR126","MicroRNA 126","RNA Gene","","31","GC09P136670","20.0912055969238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"ADRA2A","Adrenoceptor Alpha 2A","Protein Coding","P08913","59","GC10P111077","19.9657020568848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2A"
"SOCS1","Suppressor Of Cytokine Signaling 1","Protein Coding","O15524","58","GC16M027316","19.8826732635498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS1"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P133238","19.6563358306885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","32","GC09P021994","19.5670852661133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"NIDDM4","Diabetes Mellitus, Noninsulin-Dependent","Genetic Locus","","7","GC05U901023","19.5277538299561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIDDM4"
"MIR29A","MicroRNA 29a","RNA Gene","","30","GC07M130876","19.4298572540283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","P27487","62","GC02M161992","19.3905429840088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"IL6-AS1","IL6 Antisense RNA 1","RNA Gene","","22","GC07M022927","19.2220783233643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6-AS1"
"LOC126859963","BRD4-Independent Group 4 Enhancer GRCh37_chr7:22766269-22767468","Functional Element","","10","GC07P022726","19.2220783233643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126859963"
"GAS5","Growth Arrest Specific 5","RNA Gene","","32","GC01M173947","19.0220813751221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","62","GC07P161731","18.9765129089355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"LOC126807011","MED14-Independent Group 3 Enhancer GRCh37_chr4:26407341-26408540","Functional Element","","8","GC04P026405","18.7246761322021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126807011"
"PVT1","Pvt1 Oncogene","RNA Gene","","34","GC08P128246","18.6326923370361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","18.2993946075439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"PON1","Paraoxonase 1","Protein Coding","P27169","60","GC07M095297","18.1365356445313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"MIR125A","MicroRNA 125a","RNA Gene","","30","GC19P133539","17.9977035522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"APOA1","Apolipoprotein A1","Protein Coding","P02647","63","GC11M116835","17.4327869415283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","63","GC07P101127","17.2449741363525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"MIR29C","MicroRNA 29c","RNA Gene","","27","GC01M207838","17.1131591796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"APOB","Apolipoprotein B","Protein Coding","P04114","58","GC02M020956","17.019100189209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"MIR206","MicroRNA 206","RNA Gene","","29","GC06P052144","16.8556861877441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR206"
"WFDC21P","WAP Four-Disulfide Core Domain 21, Pseudogene","Pseudogene","","20","GC17M089938","16.8556861877441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WFDC21P"
"ADRB3","Adrenoceptor Beta 3","Protein Coding","P13945","55","GC08M037962","16.8373031616211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","Q9UBU3","54","GC03M010285","16.7888278961182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"AHI1-DT","AHI1 Divergent Transcript","RNA Gene","P0C7V0","27","GC06P158378","16.7191562652588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1-DT"
"KCNQ1","Potassium Voltage-Gated Channel Subfamily Q Member 1","Protein Coding","P51787","62","GC11P002444","16.7173175811768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1"
"CD36","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671","63","GC07P080369","16.6689395904541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"PPARGC1B","PPARG Coactivator 1 Beta","Protein Coding","Q86YN6","48","GC05P149730","16.5448722839355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1B"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","Q9UBK2","59","GC04M023755","16.4849662780762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"PSMA3","Proteasome 20S Subunit Alpha 3","Protein Coding","P25788","57","GC14P058244","16.2217540740967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA3"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","P03886","46","GCMTP003309","16.1464920043945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"ALB","Albumin","Protein Coding","P02768","61","GC04P073397","16.1361827850342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","16.0909099578857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","63","GC08P019901","15.6214466094971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","54","GC17P007613","15.5267381668091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"C12orf43","Chromosome 12 Open Reading Frame 43","Protein Coding","Q96C57","43","GC12M121000","15.503231048584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C12orf43"
"CETP","Cholesteryl Ester Transfer Protein","Protein Coding","P11597","59","GC16P056961","15.4068717956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP"
"FTO","FTO Alpha-Ketoglutarate Dependent Dioxygenase","Protein Coding","Q9C0B1","58","GC16P105500","15.3688020706177","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO"
"MIR657","MicroRNA 657","RNA Gene","","23","GC17M081125","15.1481800079346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR657"
"LINC01370","Long Intergenic Non-Protein Coding RNA 1370","RNA Gene","","21","GC20P045074","15.1481800079346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01370"
"LEPR","Leptin Receptor","Protein Coding","P48357","62","GC01P067643","15.0483617782593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR"
"GLP1R","Glucagon Like Peptide 1 Receptor","Protein Coding","P43220","59","GC06P039048","14.9631013870239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLP1R"
"SLC16A1","Solute Carrier Family 16 Member 1","Protein Coding","P53985","61","GC01M113130","14.7964630126953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1"
"NKX2-2","NK2 Homeobox 2","Protein Coding","O95096","54","GC20M021511","14.7964630126953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-2"
"PDZRN3-AS1","PDZRN3 Antisense RNA 1","RNA Gene","","21","GC03P073621","14.7964630126953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDZRN3-AS1"
"IAPP","Islet Amyloid Polypeptide","Protein Coding","P10997","52","GC12P021354","14.7260494232178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IAPP"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","14.6370697021484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","O95477","61","GC09M104781","14.1846160888672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"AGER","Advanced Glycosylation End-Product Specific Receptor","Protein Coding","Q15109","59","GC06M032180","14.179630279541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","14.023609161377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"AGT","Angiotensinogen","Protein Coding","P01019","62","GC01M230690","14.0183038711548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","13.9385671615601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"PTF1A","Pancreas Associated Transcription Factor 1a","Protein Coding","Q7RTS3","54","GC10P023194","13.8473901748657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTF1A"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","61","GC17P034255","13.6747102737427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"RBP4","Retinol Binding Protein 4","Protein Coding","P02753","57","GC10M093591","13.6230926513672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP4"
"SELP","Selectin P","Protein Coding","P16109","58","GC01M169558","13.6094379425049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP"
"TLR4","Toll Like Receptor 4","Protein Coding","O00206","64","GC09P117704","13.4356908798218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","13.1802463531494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","P30556","65","GC03P148697","13.1569585800171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","P43490","60","GC07M106248","13.0754547119141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"VDR","Vitamin D Receptor","Protein Coding","P11473","61","GC12M047841","12.8353071212769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","12.7629690170288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","P05362","63","GC19P132284","12.7332544326782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","P24298","54","GC08P144502","12.6690673828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"IDE","Insulin Degrading Enzyme","Protein Coding","P14735","61","GC10M092451","12.5960922241211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE"
"EDN1","Endothelin 1","Protein Coding","P05305","61","GC06P012497","12.5809078216553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","Q07869","56","GC22P046150","12.5762853622437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"LPA","Lipoprotein(A)","Protein Coding","P08519","54","GC06M160531","12.5388975143433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPA"
"HFE","Homeostatic Iron Regulator","Protein Coding","Q30201","58","GC06P026087","12.5353193283081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"CAT","Catalase","Protein Coding","P04040","64","GC11P034460","12.5113439559937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"SELE","Selectin E","Protein Coding","P16581","56","GC01M169722","12.4841680526733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE"
"HMGCR","3-Hydroxy-3-Methylglutaryl-CoA Reductase","Protein Coding","P04035","61","GC05P075336","12.4594078063965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR"
"APOC3","Apolipoprotein C3","Protein Coding","P02656","58","GC11P116829","12.4144506454468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC3"
"FGF21","Fibroblast Growth Factor 21","Protein Coding","Q9NSA1","51","GC19P133377","12.3573904037476","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF21"
"PLTP","Phospholipid Transfer Protein","Protein Coding","P55058","56","GC20M045898","12.0969200134277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLTP"
"PEA15","Proliferation And Apoptosis Adaptor Protein 15","Protein Coding","Q15121","53","GC01P160205","11.9359636306763","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEA15"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","11.7783937454224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"MC4R","Melanocortin 4 Receptor","Protein Coding","P32245","58","GC18M060371","11.6844339370728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R"
"HBA1","Hemoglobin Subunit Alpha 1","Protein Coding","P69905","55","GC16P103971","11.6248474121094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBA1"
"ALMS1","ALMS1 Centrosome And Basal Body Associated Protein","Protein Coding","Q8TCU4","51","GC02P073385","11.4832954406738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALMS1"
"NIDDM2","Non Insulin Dependent Diabetes Mellitus 2","Genetic Locus","","6","GC12U990063","11.4223442077637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIDDM2"
"UCP1","Uncoupling Protein 1","Protein Coding","P25874","55","GC04M140559","11.4219131469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP1"
"BGLAP","Bone Gamma-Carboxyglutamate Protein","Protein Coding","P02818","52","GC01P156242","11.4124879837036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP"
"IL18","Interleukin 18","Protein Coding","Q14116","56","GC11M112143","11.3668184280396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"IL4","Interleukin 4","Protein Coding","P05112","59","GC05P132673","11.3166246414185","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"FABP2","Fatty Acid Binding Protein 2","Protein Coding","P12104","54","GC04M119317","11.2756443023682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP2"
"FNDC5","Fibronectin Type III Domain Containing 5","Protein Coding","Q8NAU1","46","GC01M034065","11.2126350402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNDC5"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","P19320","58","GC01P100719","11.2124652862549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","P13726","58","GC01M094956","11.2118701934814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"ITLN1","Intelectin 1","Protein Coding","Q8WWA0","50","GC01M160876","11.1800861358643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITLN1"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","P19440","62","GC22P024583","11.1735124588013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","65","GC22P035380","11.0711545944214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"VWF","Von Willebrand Factor","Protein Coding","P04275","60","GC12M032666","10.9709396362305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"HHEX","Hematopoietically Expressed Homeobox","Protein Coding","Q03014","52","GC10P092689","10.9000339508057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HHEX"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","P08069","68","GC15P098648","10.8957242965698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"MIR122","MicroRNA 122","RNA Gene","","30","GC18P058451","10.8492212295532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"GSTT1","Glutathione S-Transferase Theta 1","Protein Coding","P30711","43","GC22Mi00270","10.7621850967407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTT1"
"RARRES2","Retinoic Acid Receptor Responder 2","Protein Coding","Q99969","51","GC07M150333","10.7592344284058","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","P18510","62","GC02P148590","10.7312822341919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","10.705002784729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"ABCG1","ATP Binding Cassette Subfamily G Member 1","Protein Coding","P45844","56","GC21P042199","10.6637744903564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG1"
"COG2","Component Of Oligomeric Golgi Complex 2","Protein Coding","Q14746","51","GC01P230642","10.6202640533447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG2"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","P14780","66","GC20P046008","10.5861015319824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"SOD2","Superoxide Dismutase 2","Protein Coding","P04179","61","GC06M159669","10.5649166107178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"DIO2","Iodothyronine Deiodinase 2","Protein Coding","Q92813","52","GC14M080197","10.550892829895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIO2"
"APLN","Apelin","Protein Coding","Q9ULZ1","48","GC0XM129645","10.5367155075073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLN"
"GSTM1","Glutathione S-Transferase Mu 1","Protein Coding","P09488","55","GC01P109687","10.4971952438354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM1"
"PCK1","Phosphoenolpyruvate Carboxykinase 1","Protein Coding","P35558","59","GC20P057561","10.4346532821655","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCK1"
"NCOA1","Nuclear Receptor Coactivator 1","Protein Coding","Q15788","58","GC02P024492","10.3952293395996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA1"
"ADRB2","Adrenoceptor Beta 2","Protein Coding","P07550","61","GC05P155594","10.388463973999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2"
