Source,Target
AKT1,hsa04620
RELA,hsa04620
PIK3CA,hsa04620
MAPK10,hsa05130
JUN,hsa05130
NFKB1,hsa05130
MAPK9,hsa05130
NFKBIA,hsa05130
IL1B,hsa05130
MAPK14,hsa05130
MAPK1,hsa05130
NLRP3,hsa05130
NFKBIB,hsa05130
IKBKB,hsa05130
MAPK3,hsa05130
IL6,hsa05130
F2R,hsa05130
MAPK8,hsa05130
FOS,hsa05130
TNF,hsa05130
ITGB1,hsa05130
RELA,hsa05130
CASP1,hsa05130
BAX,hsa05130
MAPK10,hsa05169
JUN,hsa05169
NFKB2,hsa05169
NFKB1,hsa05169
CCND1,hsa05169
BCL2,hsa05169
TP53,hsa05169
MAPK9,hsa05169
NFKBIA,hsa05169
MAPK14,hsa05169
NFKBIB,hsa05169
IKBKB,hsa05169
STAT3,hsa05169
IL6,hsa05169
MAPK8,hsa05169
TNF,hsa05169
AKT1,hsa05169
RELA,hsa05169
BAX,hsa05169
PIK3CA,hsa05169
NFKBIE,hsa05169
MAPK10,hsa04658
JUN,hsa04658
NFKB1,hsa04658
NOTCH1,hsa04658
MAPK9,hsa04658
NFKBIA,hsa04658
MAPK14,hsa04658
MAPK1,hsa04658
NFKBIB,hsa04658
JAK2,hsa04658
IKBKB,hsa04658
MAPK3,hsa04658
MAPK8,hsa04658
FOS,hsa04658
RELA,hsa04658
NFKBIE,hsa04658
MAPK10,hsa04932
SOCS3,hsa04932
JUN,hsa04932
NFKB1,hsa04932
MAPK9,hsa04932
IL1B,hsa04932
MAPK14,hsa04932
IKBKB,hsa04932
IL6,hsa04932
TGFB1,hsa04932
MAPK8,hsa04932
FOS,hsa04932
TNF,hsa04932
GSK3B,hsa04932
AKT1,hsa04932
RELA,hsa04932
BAX,hsa04932
PIK3CA,hsa04932
COX2,hsa04932
NFKB1,hsa05220
CCND1,hsa05220
TP53,hsa05220
NFKBIA,hsa05220
MAPK1,hsa05220
IKBKB,hsa05220
MAPK3,hsa05220
TGFB1,hsa05220
TGFB2,hsa05220
AKT1,hsa05220
RELA,hsa05220
BAX,hsa05220
PIK3CA,hsa05220
SMAD3,hsa05220
BRAF,hsa05220
MAPK10,hsa05132
JUN,hsa05132
NFKB1,hsa05132
BCL2,hsa05132
MAPK9,hsa05132
NFKBIA,hsa05132
IL1B,hsa05132
MAPK14,hsa05132
MAPK1,hsa05132
NLRP3,hsa05132
IKBKB,hsa05132
MAPK3,hsa05132
IL6,hsa05132
MAPK8,hsa05132
FOS,hsa05132
TNF,hsa05132
AKT1,hsa05132
GSDMD,hsa05132
RELA,hsa05132
CASP1,hsa05132
BAX,hsa05132
PIK3CA,hsa05132
MAPK10,hsa04068
CCND1,hsa04068
MAPK9,hsa04068
MAPK14,hsa04068
MAPK1,hsa04068
IKBKB,hsa04068
MAPK3,hsa04068
STAT3,hsa04068
IL6,hsa04068
TGFB1,hsa04068
TGFB2,hsa04068
MAPK8,hsa04068
SIRT1,hsa04068
AKT1,hsa04068
PIK3CA,hsa04068
SMAD3,hsa04068
BRAF,hsa04068
MAPK10,hsa05170
JUN,hsa05170
NFKB1,hsa05170
BCL2,hsa05170
CXCR4,hsa05170
MAPK9,hsa05170
NFKBIA,hsa05170
MAPK14,hsa05170
MAPK1,hsa05170
ITPR2,hsa05170
IKBKB,hsa05170
MAPK3,hsa05170
MAPK8,hsa05170
FOS,hsa05170
TNF,hsa05170
AKT1,hsa05170
PTK2,hsa05170
RELA,hsa05170
BAX,hsa05170
PIK3CA,hsa05170
NFKB1,hsa04062
CXCR4,hsa04062
CXCL12,hsa04062
NFKBIA,hsa04062
MAPK1,hsa04062
NFKBIB,hsa04062
JAK2,hsa04062
IKBKB,hsa04062
MAPK3,hsa04062
STAT3,hsa04062
PRKACA,hsa04062
PRKACB,hsa04062
GSK3B,hsa04062
AKT1,hsa04062
PTK2,hsa04062
PRKACG,hsa04062
RELA,hsa04062
PIK3CA,hsa04062
BRAF,hsa04062
NFKB1,hsa05215
CCND1,hsa05215
BCL2,hsa05215
TP53,hsa05215
NFKBIA,hsa05215
FGFR1,hsa05215
MAPK1,hsa05215
IKBKB,hsa05215
MAPK3,hsa05215
GSK3B,hsa05215
AKT1,hsa05215
RELA,hsa05215
PIK3CA,hsa05215
BRAF,hsa05215
MMP9,hsa05215
MAPK10,hsa05171
JUN,hsa05171
NFKB1,hsa05171
MAPK9,hsa05171
NFKBIA,hsa05171
IL1B,hsa05171
MAPK14,hsa05171
MAPK1,hsa05171
NLRP3,hsa05171
NFKBIB,hsa05171
IKBKB,hsa05171
MAPK3,hsa05171
STAT3,hsa05171
IL6,hsa05171
MAPK8,hsa05171
FOS,hsa05171
TNF,hsa05171
RELA,hsa05171
CASP1,hsa05171
PIK3CA,hsa05171
MAPK10,hsa05152
NFKB1,hsa05152
BCL2,hsa05152
MAPK9,hsa05152
IL1B,hsa05152
MAPK14,hsa05152
MAPK1,hsa05152
JAK2,hsa05152
MAPK3,hsa05152
IL6,hsa05152
TGFB1,hsa05152
TGFB2,hsa05152
MAPK8,hsa05152
TNF,hsa05152
AKT1,hsa05152
RELA,hsa05152
BAX,hsa05152
CEBPB,hsa05152
MAPK10,hsa04931
SOCS3,hsa04931
NFKB1,hsa04931
MAPK9,hsa04931
NFKBIA,hsa04931
IKBKB,hsa04931
STAT3,hsa04931
IL6,hsa04931
MAPK8,hsa04931
TNF,hsa04931
GSK3B,hsa04931
AKT1,hsa04931
RELA,hsa04931
PIK3CA,hsa04931
PPARGC1A,hsa04931
NFKB1,hsa04218
CCND1,hsa04218
TP53,hsa04218
MAPK14,hsa04218
MAPK1,hsa04218
ITPR2,hsa04218
MAPK3,hsa04218
IL6,hsa04218
TGFB1,hsa04218
SQSTM1,hsa04218
TGFB2,hsa04218
SIRT1,hsa04218
SMAD2,hsa04218
AKT1,hsa04218
RELA,hsa04218
PIK3CA,hsa04218
SMAD3,hsa04218
MAPK10,hsa04936
NFKB1,hsa04936
CCND1,hsa04936
MAPK9,hsa04936
NFKBIA,hsa04936
IL1B,hsa04936
MAPK14,hsa04936
IKBKB,hsa04936
IL6,hsa04936
MAPK8,hsa04936
SIRT1,hsa04936
TNF,hsa04936
GSK3B,hsa04936
AKT1,hsa04936
RELA,hsa04936
PPARGC1A,hsa04936
SOCS3,hsa05164
NFKB1,hsa05164
NFKBIA,hsa05164
IL1B,hsa05164
MAPK1,hsa05164
NLRP3,hsa05164
NFKBIB,hsa05164
JAK2,hsa05164
IKBKB,hsa05164
MAPK3,hsa05164
IL6,hsa05164
TNF,hsa05164
AKT1,hsa05164
RELA,hsa05164
CASP1,hsa05164
BAX,hsa05164
PIK3CA,hsa05164
MAPK10,hsa05415
NFKB1,hsa05415
MAPK9,hsa05415
CYBA,hsa05415
MAPK14,hsa05415
COL1A1,hsa05415
TGFB1,hsa05415
TGFB2,hsa05415
MAPK8,hsa05415
SP1,hsa05415
SMAD2,hsa05415
GSK3B,hsa05415
AKT1,hsa05415
RELA,hsa05415
PIK3CA,hsa05415
COX2,hsa05415
SMAD3,hsa05415
MMP9,hsa05415
MAPK10,hsa05020
NOTCH1,hsa05020
MAPK9,hsa05020
IL1B,hsa05020
CYBA,hsa05020
MAPK14,hsa05020
MAPK1,hsa05020
ITPR2,hsa05020
MAPK3,hsa05020
IL6,hsa05020
MAPK8,hsa05020
PRKACA,hsa05020
PRKACB,hsa05020
TNF,hsa05020
GSK3B,hsa05020
PRKACG,hsa05020
ATF2,hsa05020
BAX,hsa05020
PIK3CA,hsa05020
COX2,hsa05020
SOCS3,hsa05160
NFKB1,hsa05160
CCND1,hsa05160
TP53,hsa05160
NFKBIA,hsa05160
MAPK1,hsa05160
IKBKB,hsa05160
MAPK3,hsa05160
STAT3,hsa05160
TNF,hsa05160
GSK3B,hsa05160
AKT1,hsa05160
RELA,hsa05160
BAX,hsa05160
PIK3CA,hsa05160
BRAF,hsa05160
NFKB1,hsa04151
CCND1,hsa04151
BCL2,hsa04151
TP53,hsa04151
MCL1,hsa04151
FGFR1,hsa04151
MAPK1,hsa04151
COL1A1,hsa04151
JAK2,hsa04151
IKBKB,hsa04151
MAPK3,hsa04151
IL6,hsa04151
F2R,hsa04151
VEGFA,hsa04151
GSK3B,hsa04151
ITGA4,hsa04151
ITGB1,hsa04151
AKT1,hsa04151
PTK2,hsa04151
ATF2,hsa04151
RELA,hsa04151
PIK3CA,hsa04151
JUN,hsa04662
NFKB1,hsa04662
NFKBIA,hsa04662
MAPK1,hsa04662
NFKBIB,hsa04662
IKBKB,hsa04662
MAPK3,hsa04662
FOS,hsa04662
GSK3B,hsa04662
AKT1,hsa04662
RELA,hsa04662
PIK3CA,hsa04662
NFKBIE,hsa04662
MAPK10,hsa04024
JUN,hsa04024
NFKB1,hsa04024
MAPK9,hsa04024
NFKBIA,hsa04024
MAPK1,hsa04024
MAPK3,hsa04024
F2R,hsa04024
MAPK8,hsa04024
GLP1R,hsa04024
PRKACA,hsa04024
PRKACB,hsa04024
FOS,hsa04024
AKT1,hsa04024
PRKACG,hsa04024
RELA,hsa04024
PIK3CA,hsa04024
BRAF,hsa04024
NFKB1,hsa05165
CCND1,hsa05165
TP53,hsa05165
NOTCH1,hsa05165
MAPK1,hsa05165
COL1A1,hsa05165
IKBKB,hsa05165
MAPK3,hsa05165
VEGFA,hsa05165
PRKACA,hsa05165
PRKACB,hsa05165
TNF,hsa05165
GSK3B,hsa05165
ITGA4,hsa05165
ITGB1,hsa05165
AKT1,hsa05165
PTK2,hsa05165
PRKACG,hsa05165
RELA,hsa05165
BAX,hsa05165
PIK3CA,hsa05165
MAPK10,hsa04510
JUN,hsa04510
CCND1,hsa04510
BCL2,hsa04510
MAPK9,hsa04510
MAPK1,hsa04510
COL1A1,hsa04510
MAPK3,hsa04510
MAPK8,hsa04510
VEGFA,hsa04510
GSK3B,hsa04510
ITGA4,hsa04510
ITGB1,hsa04510
AKT1,hsa04510
PTK2,hsa04510
PIK3CA,hsa04510
BRAF,hsa04510
JUN,hsa05203
NFKB2,hsa05203
NFKB1,hsa05203
CCND1,hsa05203
TP53,hsa05203
NFKBIA,hsa05203
MAPK1,hsa05203
REL,hsa05203
MAPK3,hsa05203
STAT3,hsa05203
PRKACA,hsa05203
PRKACB,hsa05203
PRKACG,hsa05203
ATF2,hsa05203
RELA,hsa05203
BAX,hsa05203
PIK3CA,hsa05203
MAPK10,hsa04071
NFKB1,hsa04071
BCL2,hsa04071
